Qualidade das aulas,Infraestrutura geral,Processo de gestão/Administrativo do Programa,ano_ingresso
5,4,5,2020
4,4,4,2020
5,5,5,2020
5,5,5,2020
4,4,4,2020
4,4,4,2020
5,5,5,2018
4,5,5,2020
4,4,Sem condições de avaliar,2019
5,Sem condições de avaliar,3,2020
Sem condições de avaliar,3,1,2019
1,1,1,2019
5,5,5,2019
4,4,4,2020
5,4,4,2019
5,4,3,2019
5,4,5,2019
3,Sem condições de avaliar,Sem condições de avaliar,2020
5,5,5,2019
5,3,5,2018
1,2,1,2019
5,4,4,2020
5,5,5,2021
4,3,4,2019
4,3,3,2019
4,4,5,2019
