1. Qual o seu nivel de formacao?;2. Qual o seu ano de ingresso?;3. A qual programa esta vinculado?;como voce avalia a qualidade das aulas e do material utilizado?  [Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado?  [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado?  [Acervo disponivel para consulta];Como voce avalia a  infraestrutura do programa?  [Infraestrutura geral];Como voce avalia a  infraestrutura do programa?  [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a  infraestrutura do programa?  [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os colegas];Como voce avalia o relacionamento entre voce e: [a comissao orientadora];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto aluno];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [das normas da Capes];Como voce avalia o seu conhecimento acerca: [do processo de avaliacao da Capes];Em relacao ao seu PROJETO DE PESQUISA, voce esta:;Em relacao a sua PRODUcaO CIENTiFICA, voce esta:;Voce acredita que sua pesquisa possui relevancia e pertinencia social?;Voce acredita que sua pesquisa possui relevancia e pertinencia economica?;Voce acredita que sua pesquisa possui relevancia e pertinencia ambiental?;Voce acredita que sua pesquisa promove avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que sua pesquisa esta alinhada com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados por sua pesquisa e producao cientifica dela decorrente? (Marque todas que se aplicam).;Voce recebe bolsa de pos-graduacao?;Para a realizacao de seu projeto de pesquisa houve algum tipo de captacao de recurso externo (exceto bolsa)? ;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que sua linha de pesquisa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente de sua pesquisa, ou possui isso como um dos objetivos de seu projeto de pesquisa?;Producao de tecnologias de APLICAcaO SOCIAL e uma prioridade em seu programa de pos-graduacao?;Alguma tecnologia de aplicacao social ja foi criada como resultado de sua pesquisa, ou possui isso como um dos objetivos de seu projeto de pesquisa?;Voce ja apresentou algum resultado de sua pesquisa em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Voce ja apresentou algum resultado de sua pesquisa em algum evento CIENTiFICO, ou pretende apresentar?;Sua pesquisa podera gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao? ;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Seu projeto de pesquisa possui parcerias com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Gostaria de adicionar algum comentario referente seu Programa de Pos-Graduacao?;Gostaria de adicionar algum comentario referente a Pro-Reitoria de Pesquisa e Pos-Graduacao?
Doutorado em andamento;2019;Administracao;4;5;5;5;5;0;5;4;4;4;5;5;4;4;4;4;4;4;4;5;5;3;4;1;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;0;0;0;;;0;;1, em um evento internacional;1, em um evento internacional;4;3;;3;3;0;3;;
Mestrado em andamento;2020;Administracao;4;4;4;5;5;5;5;5;5;5;5;5;4;4;4;3;3;3;4;5;5;5;5;1;4;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;1, junto a outras instituicoes de apoio a pesquisa (federais ou estaduais);0;;;0;;1, em um evento regional;1, em um evento internacional;4;2;;2;3;0;1;Somente uma maior presenca dos orientadores no desenvolvimento dos trabalhos, uma vez que a nivel de mestrado, um acompanhamento mais de perto seria de extrema valia;
Mestrado em andamento;2021;Administracao;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;4;4;3;5;1;5;Sociedade, Empresas, Agencias Governamentais;1 - Capes;0;1;0;0;1;0;1, em um evento nacional;1, em um evento nacional;5;4;;5;5;1;5;;
Mestrado em andamento;2020;Administracao;4;4;0;0;0;0;5;4;3;3;4;4;5;4;4;4;4;5;5;5;5;3;4;1;5;Sociedade;1 - Capes;0;1;0;0;1;0;1, em um evento nacional;1, em um evento nacional;5;4;;4;3;0;3;;
Doutorado em andamento;2018;Administracao;4;5;3;5;5;3;5;4;4;4;4;4;5;5;4;5;5;4;3;5;5;3;4;1;4;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Fapemig;0;0;;;1;0;1, em um evento nacional;1, em um evento internacional;5;3;;5;4;1;5;Os professores buscam muitos contatos internacionais e buscam se aprimorar fora do pais, porem, nem sempre incentivam seus alunos a fazer isso.;Poderia ter um sistema melhor de divulgacao de oportunidades
Mestrado em andamento;2019;Administracao;3;3;4;3;2;1;5;4;4;3;3;3;5;4;4;3;3;4;3;5;5;2;5;1;4;Sociedade, Outros Pesquisadores, Agencias Governamentais;1 - Capes;0;1;0;0;1;0;0;0;5;2;;5;3;0;4;0 somente ao programa de pos graduacao em que faco parte, mas todos de maneira geral. Ha que se discutir urgentemente o assedio moral nas relacoes orientadores/orientandos, bem como os efeitos que uma orientacao inadequada acarreta 0 somente na saúde fisica e mental dos discentes, mas tambem na producao academica do programa e indicadores de qualidade.;
Mestrado em andamento;2020;Administracao;5;5;4;5;5;5;5;5;4;5;4;4;5;4;4;4;4;5;5;5;5;3;5;1;5;Sociedade, Agencias Governamentais;1 - Capes;0;0;;;0;;0;1, em um evento nacional;5;1;;1;1;0;3;Em meu programa existem muitos alunos que 0 tem interesse em seguir na pesquisa, logo para estes a publicacao de trabalhos 0 e relevante. Na situacao atual, com carencia de bolsas e financiamento, isso pode prejudicar quem realmente tenha interesse em seguir na pesquisa e contribuir para a geracao de conhecimento. Gostaria tambem de saber mais informacoes sobre meu programa, as vezes sinto que somos um pouco deixados de lado. Mas, tenho que ressaltar que ja houve uma conversa sobre isso com a coordenacao do programa e eles vem tentando melhorar.  ;Acredito que a pro-reitoria deveria ser mais presente, nem sabemos ao certo quais sao nossos direitos e deveres. Acabamos sendo submissos a coordenacao do programa e dependemos que estes nos repassem informacoes. Quais criterios sao realmente a cargo dos programas de pos decidirem? O que fazer quando discordamos ou acreditamos que fomos prejudicados por decisoes e acoes do programa? 
Doutorado em andamento;2019;Administracao;4;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;3;2;5;4;1;4;1;5;Sociedade, Agencias Governamentais;1 - Capes;0;0;;;1;1;1, em um evento regional;1, em um evento nacional;5;3;;3;3;0;4;;
Doutorado em andamento;2019;Administracao;4;4;5;4;3;3;4;4;4;5;4;4;5;5;4;2;1;4;5;5;5;1;5;0;;Sociedade, Outros Pesquisadores;0;0;0;;;0;;0;0;5;4;;3;3;0;4;;Acredito que a PPG poderia promover mais eventos sobre redacao cientifica, melhores bases de dados, estrategias de buscas de pesquisas em bases de dados, como identificar lacunas no conhecimento, como fazer ciencia tendo um olhar global, como produzir um artigo cientifico de alto impacto, etc.
Mestrado em andamento;2019;Administracao;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;4;5;1;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;0;0;1;0;0;1;0;1, em um evento nacional;1, em um evento nacional;5;3;;3;4;0;3;;
