Como voce identifica seu genero?;Qual o ultimo nivel de formacao que voce obteve na UNIFEI?;Qual o seu ano de conclusao?;A qual programa esteve vinculado?;Em uma escala de 0 a 10, o quanto voce recomendaria o Programa em que realizou sua pos-graduacao na UNIFEI?;Como voce avalia a qualidade das aulas e do material utilizado no Programa? [Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado no Programa? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado no Programa? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa durante seu periodo na UNIFEI? [Infraestrutura geral];Como voce avalia a infraestrutura do programa durante seu periodo na UNIFEI? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa durante seu periodo na UNIFEI? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os colegas];Como voce avalia o relacionamento entre voce e: [a comissao orientadora];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Em relacao a sua TESE/DISSERTAcaO, voce ficou:;Em relacao a sua PRODUcaO CIENTiFICA, voce ficou satisfeito:;Voce acredita que a sua pesquisa teve relevancia e pertinencia social?;Voce acredita que a sua pesquisa teve relevancia e pertinencia economico?;Voce acredita que a sua pesquisa teve relevancia e pertinencia ambiental?;Voce acredita que a sua pesquisa promoveu o avanco cientifico?;Voce acredita que sua pesquisa esteve alinhada com missao, visao e objetivos de seu Programa?;Voce recebeu bolsa de pos-graduacao?;Para a realizacao de seu projeto de pesquisa houve algum tipo de captacao de recurso externo (exceto bolsa)?;O programa de pos-graduacao em que atuou tem como objetivo a producao de inovacao tecnologica?;Voce acredita que a linha de pesquisa em que atuou se destaca pela producao de inovacao tecnologica?;Voce depositou alguma patente proveniente de sua pesquisa?;O programa de pos-graduacao em que atuou tem como objetivo a producao de tecnologias de APLICAcaO SOCIAL?;Alguma tecnologia de aplicacao social foi criada como resultado de sua pesquisa?;Voce ja apresentou algum resultado de sua pesquisa em algum evento voltado para a sociedade, ou pretende apresentar?;Voce ja apresentou algum resultado de sua pesquisa em algum evento CIENTiFICO, ou pretende apresentar?;Sua pesquisa gerou solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Qual foi o principal impacto social promovido por seu projeto de pesquisa? (Marque todas aplicaveis);Seu projeto de pesquisa possuiu parcerias com instituicoes internacionais de pesquisa ou ensino?;Quando aluno da UNIFEI, teve a oportunidade de fazer parte da sua pos-graduacao em outra instituicao (Nacional ou Internacional)?;Em sua trajetoria profissional, teve a oportunidade de atuar fora do Brasil?;Caso se sinta a vontade, pedimos que compartilhe como fez para pleitear a oportunidade fora do Brasil.;Qual sua colocacao profissional atualmente?;Seu emprego esta relacionado a sua area de formacao na pos-graduacao da UNIFEI?;Voce teve dificuldade para conseguir o primeiro emprego?;Caso tenha tido/tenha dificuldade para conseguir o primeiro emprego, o que poderia ser melhorado no programa, visando maior insercao no mercado de trabalho?;Teve bolsa de iniciacao cientifica na graduacao?;Voce teve recursos e estrutura fisica suficiente para a conducao dos seus experimentos?;Gostariamos de saber sua satisfacao pessoal e profissional com relacao a sua formacao na UNIFEI. Fique a vontade em descreve-las.;Gostaria de adicionar algum comentario referente a Pro-Reitoria de Pesquisa e Pos-Graduacao?
Masculino;Doutorado;2017;Administracao;10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;2;Transferencia de conhecimento para a sociedade, Avanco cientifico;Sim;Nao;Sim;;Docente;Sim;Nao;;Sim;Sim;Extremamente contente.;
Feminino;Mestrado;2020;Engenharia Hidrica;10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;Nao;Nao;Sim;Sim;Nao;Sim;Sim;Nao;Sim;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;Nao;Nao;Nao;;Nutricionista;Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Sim;Extremamente satisfeita, tanto na graduacao quanto na pos graduacao. Excelente infraestrutura, profissionais e programas.;
Masculino;Doutorado;2017;Fisica;9;2;3;2;3;3;3;3;3;3;3;2;2;3;3;2;2;3;3;;Sim;Sim;Nao;Nao;Nao;Nao;;Nao;Sim;2;Avanco cientifico;Sim;Sim;Nao;;Pos-doutorando;Sim;Nao se aplica (Desempregado);Preparar os estudantes para o mercado de trabalho e nao somente para publicar artigos.;Sim;Sim;Satisfeito!;
Feminino;Mestrado;2020;Engenharia Mecanica;10;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Sim;2;Licenciamento de processos ou produtos;Nao;Nao;Nao;;Doutorado em andamento ;;;;Sim;Sim;;
Feminino;Mestrado;2018;Administracao;10;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;;3;3;3;Nao;Sim;Sim;Nao;Nao;Sim;Nao;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Servidor Publico (outros cargos);Sim;Ja possuia emprego quando ingressei na pos-graduacao/UNIFEI;;Nao;Sim;;
Masculino;Mestrado;2018;Desenvolvimento, Tecnologias e Sociedade;9;3;2;3;3;3;2;3;3;3;3;3;2;3;3;2;3;3;3;3;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Nao;Sim;3;Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Nao;;Sim;Sim;;
Feminino;Mestrado;2019;Meio Ambiente e Recursos Hidricos;10;3;3;2;2;2;2;3;3;3;3;3;2;3;3;3;3;3;3;;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Pesquisador;Nao;;;;Sim;;
Masculino;Mestrado;2016;Administracao em Ciencias;10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;Sim;Nao;Nao;Nao;Nao;Nao;;Nao;Sim;3;Avanco cientifico;Nao;Nao;Nao;;Nao se aplica (desempregado);;Nao se aplica (Desempregado);;Sim;Sim;Orgulho de ter estudado nessa instituicao;
Masculino;Doutorado;2021;Ciencia e Tecnologia da Computacao;10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Nao;Sim;2;Transferencia de conhecimento para a sociedade, Avanco cientifico;Sim;Nao;Nao;;Nao se aplica (desempregado);;Nao se aplica (Desempregado);;Sim;Sim;Totalmente satisfeito com os aprendizados educacionais e cientificos durante minha trajetoria na UNIFEI. Atualmente estou concorrendo a vagas de pos-doc e concursos para professor.;A PPG desenvolve de maneira exemplar seu papel na divulgacao, incentivo e desenvolvimento da pesquisa produzida na UNIFEI.
Masculino;Mestrado;2018;Administracao;10;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;2;;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Nao;Sim;1;Transferencia de conhecimento para a sociedade, Avanco cientifico;Nao;Nao;Nao;;Doutorando;;;;Sim;Sim;;
Outro;Mestrado;2019;Ciencia e Tecnologia da Computacao;10;2;2;3;2;2;2;3;3;3;3;2;2;3;2;3;3;3;2;2;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Sim;Sim;1;Avanco cientifico;Nao;Nao;Nao;;Bolsista de doutorado;Sim;Nao se aplica (Desempregado);;Nao;Sim;;
Masculino;Mestrado;2016;Desenvolvimento, Tecnologias e Sociedade;2;2;3;2;2;2;1;3;2;3;3;2;2;3;3;2;2;1;2;3;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Sim;Sim;2;Nenhuma dos impactos listados;Nao;Nao;Nao;;Nao se aplica (desempregado);Nao;Nao se aplica (Desempregado);;Nao;Nao;;
Feminino;Doutorado;2012;Estatistica Aplicada e Biometria;10;2;2;3;3;3;3;3;3;3;3;2;2;2;3;2;2;2;2;3;Sim;Nao;Nao;Nao;Nao;Nao;;Sim;Sim;2;Avanco cientifico;Nao;Nao;Nao;;Docente;Sim;Nao;;Nao;Sim;;
Feminino;Mestrado;2020;Engenharia de Materiais;8;3;2;2;3;3;3;1;3;3;3;3;2;2;3;3;2;2;3;3;Sim;Nao;Nao;Nao;Nao;Sim;Sim;Sim;Sim;3;Transferencia de conhecimento para a sociedade;Nao;Nao;Nao;;Docente;Sim;Sim;;Nao;Sim;;
Feminino;Doutorado;2019;Administracao;10;3;2;2;3;3;3;3;3;3;3;2;3;3;2;3;3;3;3;3;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;Sim;Sim;Sim;Nao aceitei a oferta.;Pesquisador;Sim;Nao se aplica (Desempregado);;Sim;Sim;;
Feminino;Doutorado;2018;Engenharia Eletrica;10;2;2;3;3;2;3;3;3;3;3;3;2;3;2;2;2;2;2;2;Sim;Nao;Sim;Sim;Nao;Nao;;Sim;Sim;3;Avanco cientifico;Nao;Nao;Nao;;Docente substituto;;Sim;Maior engajamento entre o programa e a iniciativa privada;Sim;Sim;;
Feminino;Doutorado;2013;Engenharia Eletrica;10;3;3;3;2;2;2;3;3;3;3;3;3;3;2;3;3;1;2;;Sim;Sim;Nao;Nao;Nao;Nao;;Nao;Sim;;Avanco cientifico;Sim;Sim;Nao;;Docente;Sim;Nao;;Sim;Sim;;
Masculino;Doutorado;2018;Ciencia e Tecnologia da Computacao;9;3;3;3;3;3;3;3;3;3;3;Sem condicoes de avaliar;Sem condicoes de avaliar;3;3;2;3;3;3;2;Sim;Sim;Nao;Sim;Nao;Sim;Nao;Nao;Sim;3;Avanco cientifico;Sim;Sim;Sim;Vi a oportunidade no LinkedIn, fiz a inscricao no sistema da universidade e participei de uma selecao do curriculo e entrevista.;Pesquisador;Sim;Nao;;Sim;Sim;Durante meu periodo na UNIFEI, cresci muito do ponto de vista profissional. A instituicao possui excelentes professores, na sua maioria. Infelizmente ha pessimos professores tambem que sao favorecidos pelo sistema publico.;" Infelizmente a burocracia acaba atrapalhando muitas parcerias entre a instituicao e atores da sociedade, principalmente quando envolve o setor privado com fins lucrativos. O sistema de selecao de novos professores e pessimo e nao reflete a necessidade da instituicao. O concurso seleciona mais um ""bom fazedor de provas"" do que um excelente professor/cientista. Algumas ultimas contratacoes que vi, me fazem crer que o futuro da UNIFEI nao sera tao glorioso como seu passado. A migracao de professores para o setor privado ou instituicoes estrangeiras sera cada vez mais frequente se nao houver mudanca no estimulo (financeiro, carreira...) aos professores atuais."
Feminino;Mestrado;2018;Ciencia e Tecnologia da Computacao;10;2;3;2;2;2;3;3;3;3;3;3;3;3;2;3;2;;2;3;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Sim;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;Nao;Nao;Nao;;Doutoranda;Sim;Nao se aplica (Desempregado);;Nao;Sim;Muito satisfeita ;
