A qual  programa esta vinculado?;Ha quanto tempo esta vinculado ao referido Programas de Pos-Graduacao?;Como voce avalia a qualidade das aulas e do material utilizado?[Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa? [Infraestrutura geral];Como voce avalia a infraestrutura do programa? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os discentes];Como voce avalia o relacionamento entre voce e: [os demais professores do programa];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto orientador];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [normas Capes];Como voce avalia o seu conhecimento acerca: [processo de avaliacao da Capes];Em relacao aos PROJETOS DE PESQUISA orientados por voce nesse Programa, voce esta:;Em relacao à sua PRODUcaO CIENTiFICA relacionada à esse Programa, voce esta:;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia social?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia econômica?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa promovem avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que os projetos de pesquisa orientados por voce nesse programa estao alinhados com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados pelas pesquisas sob sua orientacao nesse Programa e das producoes cientificas delas decorrentes? (Marque todas que se aplicam).;Voce tem iniciativa de prover captacao de recurso externo para o desenvolvimento de seus projetos de pesquisa (exceto bolsa)?;Na sua opiniao, o que e preciso para que o seu Programa tenha producao de conhecimento cientifico e tecnologico qualificado, reconhecido pela comunidade cientifica internacional da area em que atua?;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que a linha de pesquisa em que atua nesse Programa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente dos resultados das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Alguma tecnologia de APLICAcaO SOCIAL ja foi criada como resultado das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento CIENTiFICO, ou pretende apresentar?;Os projetos de pesquisa sob sua orientacao poderao gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Quais os principais impactos sociais a serem promovidos por seus projetos de pesquisa? (Marque todas aplicaveis);Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao?;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Voce possui projetos de pesquisa em parceria com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Sinto-me capacitado para oferecer disciplinas em lingua inglesa:;Gostaria de adicionar algum comentario referente ao Programa de Pos-Graduacao em questao?;Gostaria de adicionar algum comentario referente à Pro-Reitoria de Pesquisa e Pos-Graduacao?
Ciencia da Computacao;Menos de 4 anos;5;4;5;3;Sem condicoes de avaliar;2;5;5;5;5;5;4;4;4;4;3;2;4;2;3;4;3;Nao;;Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Maior apoio, incluindo financeiro para aquisicao de equipamentos.;Sim;Sim;Sim;Nao;Sim, em um evento internacional;Sim, em um evento internacional;5;Geracao direta ou indireta de emprego e renda, Avanco cientifico;4;;4;3;Nao;4;4;;
Economia Domestica;Menos de 4 anos;5;5;3;5;5;5;4;5;5;5;5;5;4;4;4;3;4;5;3;5;3;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Nao;;Nao;;;Nao;Nao;Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Avanco cientifico;3;;4;4;Nao;5;4;;
Entomologia;Mais de 12 anos;5;5;5;4;5;3;5;5;5;5;5;5;5;5;4;3;3;5;5;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;A producao tem boa repercussao;Sim;Sim;Sim;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;5;5;Sim;3;3;;
Quimica em Rede Nacional PROFQUI;Menos de 4 anos;5;5;4;4;4;4;5;5;5;4;5;5;5;5;4;4;3;5;4;5;5;5;Sim;5;Sociedade, Outros Pesquisadores;Nao;O programa necessita de espaco propria para trabalho e orientacao dos alunos.;Nao;;;Sim;Sim, em um evento regional;Sim, em um evento regional;5;Melhoria na qualidade de vida da populacao local;0;Nao;;;Sim;2;2;;
Fitopatologia;Mais de 12 anos;4;4;5;4;4;3;4;2;1;3;2;2;4;4;4;5;4;3;3;2;3;3;Nao;;Sociedade, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Que os orientadores comecem a publicar as dissertacoes e teses geradas nos laboratorios.;Nao;;;Nao;Sim, em um evento regional;Sim, em um evento nacional;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;3;Nao;4;3;Internacionalizar sabendo que a maioria dos docentes nao sao fluentes em Ingles. Esse sera um grande desafio ;Apoiar mais os professores no inicio de carreira para que possam se desenvolver cientificamente de forma mais rapida
Fitopatologia;Entre 4 e 12 anos;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;4;5;5;Sim;5;Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;O programa ja e conceito 7, mas precisaria investir mais em presenca em midia social para divulgacao dos resultados no nivel internacional. A producao cientifica e internacional.;Nao;;;Nao;Nao;Sim, em um evento internacional;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;5;3;Sim;5;5;Nao;Nao
Fisica;Menos de 4 anos;5;5;4;5;4;4;5;5;5;5;5;5;5;4;4;4;3;5;4;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Maior visibilidade das pesquisas realizadas atraves de uma Assessoria de Comunicacao Institucional dedicada exclusivamente à promocao das atividades cientificas.;Sim;Sim;Sim;Sim;Sim, em um evento local;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;5;5;Sim;5;5;;
Ciencia da Computacao;Mais de 12 anos;4;4;4;4;3;3;5;5;5;4;5;5;4;5;5;4;4;4;3;4;4;4;Sim;4;Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);;Nao;;;Nao;Sim, em um evento local, Sim, em um evento regional;Sim, em um evento nacional, Sim, em um evento internacional;4;Avanco cientifico;3;;3;3;Sim;3;3;;
Arquitetura e Urbanismo;Entre 4 e 12 anos;5;5;4;4;5;2;4;4;5;5;5;5;5;4;4;3;5;5;5;4;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Mais oportunidades de financiamento;Sim;Sim;Sim;Nao;Sim, em um evento local;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;5;3;Sim;5;5;Respondi como orientadora, mas tb sou a coordenadora;
Ciencia da Nutricao;Menos de 4 anos;5;5;5;4;4;Sem condicoes de avaliar;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Mais recursos para pesquisas;Sim;Sim;Nao;Nao;Iniciei agora minhas orientacoes;Iniciei agora minhas orientacoes;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;4;;3;5;Nao;3;3;;
